log_header, utc_hhmmss, pos_status, lat, lat_dir, lon, lon_dir, speed_kn, track_true, dt, mag_var, var_dir, checksum
$GPRMC,071758.00,A,4924.074403,N,02142.188548,E,062.0,190.4,030619,,,A*55
$GPRMC,071759.00,A,4924.057595,N,02142.183618,E,061.5,191.4,030619,,,A*51
$GPRMC,071800.00,A,4924.041122,N,02142.178150,E,060.4,192.6,030619,,,A*53
$GPRMC,071801.00,A,4924.025308,N,02142.171129,E,059.1,194.5,030619,,,A*57
$GPRMC,071802.00,A,4924.009627,N,02142.164105,E,058.8,194.8,030619,,,A*5D
$GPRMC,071803.00,A,4923.994122,N,02142.158327,E,056.0,195.8,030619,,,A*5E
$GPRMC,071804.00,A,4923.979234,N,02142.152170,E,054.3,198.4,030619,,,A*54
$GPRMC,071805.00,A,4923.965002,N,02142.145300,E,052.6,199.0,030619,,,A*5A
$GPRMC,071806.00,A,4923.951348,N,02142.138715,E,050.7,199.0,030619,,,A*5A
$GPRMC,071807.00,A,4923.938108,N,02142.132220,E,049.6,198.8,030619,,,A*5B
$GPRMC,071808.00,A,4923.925057,N,02142.125747,E,049.5,198.8,030619,,,A*52
$GPRMC,071809.00,A,4923.912183,N,02142.119238,E,048.6,200.2,030619,,,A*57
$GPRMC,071810.00,A,4923.899827,N,02142.111486,E,048.4,201.1,030619,,,A*51
$GPRMC,071811.00,A,4923.887884,N,02142.102828,E,047.1,201.8,030619,,,A*5F
$GPRMC,071812.00,A,4923.876193,N,02142.094409,E,045.9,202.4,030619,,,A*59
$GPRMC,071813.00,A,4923.864848,N,02142.086359,E,044.9,203.5,030619,,,A*54
$GPRMC,071814.00,A,4923.853863,N,02142.077523,E,044.7,204.2,030619,,,A*55
$GPRMC,071815.00,A,4923.842755,N,02142.069010,E,044.9,204.2,030619,,,A*5A
$GPRMC,071816.00,A,4923.831279,N,02142.061670,E,045.5,204.7,030619,,,A*56
$GPRMC,071817.00,A,4923.819033,N,02142.054998,E,046.0,205.4,030619,,,A*5A
$GPRMC,071818.00,A,4923.807168,N,02142.047130,E,045.4,205.6,030619,,,A*58
$GPRMC,071819.00,A,4923.795720,N,02142.038167,E,045.6,207.5,030619,,,A*5E
$GPRMC,071820.00,A,4923.784396,N,02142.029823,E,044.7,210.1,030619,,,A*56
$GPRMC,071821.00,A,4923.773496,N,02142.020567,E,044.8,212.0,030619,,,A*50
$GPRMC,071822.00,A,4923.763253,N,02142.010038,E,043.9,213.1,030619,,,A*57
$GPRMC,071823.00,A,4923.753227,N,02141.999436,E,043.9,212.9,030619,,,A*5E
$GPRMC,071824.00,A,4923.743008,N,02141.989250,E,043.8,211.7,030619,,,A*5C
$GPRMC,071825.00,A,4923.732096,N,02141.980761,E,044.7,206.7,030619,,,A*5C
$GPRMC,071826.00,A,4923.721371,N,02141.971528,E,044.5,205.7,030619,,,A*57
$GPRMC,071827.00,A,4923.709653,N,02141.965386,E,044.1,203.4,030619,,,A*5F
$GPRMC,071828.00,A,4923.697940,N,02141.958714,E,044.4,198.4,030619,,,A*5E
$GPRMC,071829.00,A,4923.685867,N,02141.953828,E,045.1,194.0,030619,,,A*5F
$GPRMC,071830.00,A,4923.673272,N,02141.949969,E,047.0,192.7,030619,,,A*5D
$GPRMC,071831.00,A,4923.660151,N,02141.944909,E,049.5,192.4,030619,,,A*5F
$GPRMC,071832.00,A,4923.646660,N,02141.939693,E,050.1,191.4,030619,,,A*54
$GPRMC,071833.00,A,4923.632791,N,02141.935636,E,051.5,187.3,030619,,,A*5F
$GPRMC,071834.00,A,4923.618612,N,02141.932422,E,052.6,184.1,030619,,,A*5B
$GPRMC,071835.00,A,4923.603993,N,02141.931107,E,053.2,180.2,030619,,,A*55
$GPRMC,071836.00,A,4923.589706,N,02141.931504,E,051.6,176.8,030619,,,A*57
$GPRMC,071837.00,A,4923.575632,N,02141.933578,E,050.3,174.3,030619,,,A*57
$GPRMC,071838.00,A,4923.561988,N,02141.937414,E,050.0,172.5,030619,,,A*5F
$GPRMC,071839.00,A,4923.548991,N,02141.941273,E,046.8,171.4,030619,,,A*56
$GPRMC,071840.00,A,4923.536426,N,02141.943949,E,045.2,171.4,030619,,,A*59
$GPRMC,071841.00,A,4923.524298,N,02141.947317,E,044.5,170.7,030619,,,A*59
$GPRMC,071842.00,A,4923.512388,N,02141.950249,E,043.3,169.5,030619,,,A*58
$GPRMC,071843.00,A,4923.500275,N,02141.953498,E,044.6,171.3,030619,,,A*5D
$GPRMC,071844.00,A,4923.487695,N,02141.955679,E,046.2,172.5,030619,,,A*56
$GPRMC,071845.00,A,4923.474999,N,02141.958263,E,046.4,172.5,030619,,,A*5C
$GPRMC,071846.00,A,4923.462404,N,02141.960568,E,045.1,175.8,030619,,,A*5A
$GPRMC,071847.00,A,4923.449921,N,02141.961382,E,044.5,178.8,030619,,,A*53
$GPRMC,071848.00,A,4923.437103,N,02141.960782,E,046.3,181.5,030619,,,A*57
$GPRMC,071849.00,A,4923.424245,N,02141.958865,E,047.2,183.4,030619,,,A*5B
$GPRMC,071850.00,A,4923.411405,N,02141.956879,E,045.7,186.4,030619,,,A*56
$GPRMC,071851.00,A,4923.398702,N,02141.953566,E,045.8,188.9,030619,,,A*5F
$GPRMC,071852.00,A,4923.386075,N,02141.950344,E,046.2,192.4,030619,,,A*5E
$GPRMC,071853.00,A,4923.373264,N,02141.946061,E,046.2,193.7,030619,,,A*56
$GPRMC,071854.00,A,4923.360928,N,02141.940927,E,046.1,195.5,030619,,,A*5A
$GPRMC,071855.00,A,4923.348789,N,02141.935349,E,045.9,198.0,030619,,,A*57
$GPRMC,071856.00,A,4923.337061,N,02141.928939,E,044.7,201.8,030619,,,A*58
